Volume,Doors,Style,ClusterStyle
102,4,Sedan,Sedan
121,5,SUV,SUV
113,4,Sedan,Sedan
134,5,SUV,SUV
134,5,SUV,SUV
300,5,Van,Van
114,5,SUV,Sedan
167,5,SUV,SUV
120,4,Sedan,SUV
96,2,Sedan,Sedan
100,4,Sedan,Sedan
130,4,Pickup,SUV
110,4,Jeep,Sedan
150,4,Van,SUV
97,4,Sedan,Sedan
105,4,SUV,Sedan
135,4,Pickup,SUV
108,4,SUV,Sedan
115,4,SUV,Sedan
95,4,Sedan,Sedan
107,4,SUV,Sedan
92,4,SUV,Sedan
105,4,SUV,Sedan
89,4,SUV,Sedan
70,2,Jeep,Sedan
97,4,SUV,Sedan
88,4,Sedan,Sedan
120,4,Pickup,SUV
104,4,Sedan,Sedan
97,4,Sedan,Sedan
100,4,Sedan,Sedan
115,4,SUV,Sedan
95,4,Jeep,Sedan
105,4,SUV,Sedan
97,4,Sedan,Sedan
132,4,Pickup,SUV
94,4,Sedan,Sedan
99,4,Sedan,Sedan
110,4,SUV,Sedan
103,4,Sedan,Sedan
135,4,SUV,SUV
72,4,Jeep,Sedan
101,4,Sedan,Sedan
145,4,SUV,SUV
53,2,Jeep,SUV
137,4,SUV,SUV
100,4,Sedan,Sedan
131,4,SUV,SUV
98,4,Pickup,Sedan
94,4,Sedan,Sedan
192,5,Van,SUV
106,5,SUV,Sedan
105,4,Sedan,Sedan
96,4,Sedan,Sedan
168,5,SUV,SUV
116,4,Sedan,Sedan
112,4,Sedan,Sedan
137,5,SUV,SUV
132,4,Pickup,SUV
113,4,Sedan,Sedan
145,4,SUV,SUV
132,4,Pickup,SUV
171,4,SUV,SUV
99,4,SUV,Sedan
96,4,SUV,Sedan
106,4,SUV,Sedan
136,4,SUV,SUV
134,4,SUV,SUV
103,4,SUV,Sedan
168,4,SUV,SUV
112,4,Sedan,Sedan
110,4,Sedan,Sedan
167,5,SUV,SUV
144,5,SUV,SUV
114,4,Sedan,Sedan
166,5,SUV,SUV
118,4,Sedan,SUV
110,2,Sedan,Sedan
100,4,Pickup,Sedan
112,4,Sedan,Sedan
122,4,Sedan,SUV
132,4,Pickup,SUV
135,5,Jeep,SUV
196,5,Van,SUV
112,4,Sedan,Sedan
136,5,SUV,SUV
115,4,Sedan,Sedan
134,4,Pickup,SUV
190,5,Van,SUV
152,5,SUV,SUV
128,4,SUV,SUV
106,4,SUV,Sedan
111,4,SUV,Sedan
106,4,SUV,Sedan
128,4,SUV,SUV
109,4,SUV,Sedan
104,4,Jeep,Sedan
112,4,Sedan,Sedan
128,4,SUV,SUV
105,4,Sedan,Sedan
160,4,SUV,SUV
110,4,Sedan,Sedan
155,4,Sedan,SUV
140,4,SUV,SUV
170,4,Pickup,SUV
118,4,Sedan,SUV
110,4,Sedan,Sedan
88,4,Sedan,Sedan
94,4,Sedan,Sedan
110,5,Sedan,Sedan
38,4,SUV,SUV
12,4,Sedan,SUV
17,4,SUV,SUV
36,4,SUV,SUV
25,4,SUV,SUV
11,2,Sedan,SUV
14,4,Sedan,SUV
14,4,Sedan,SUV
13,4,Sedan,SUV
34,4,SUV,SUV
144,5,SUV,SUV
97,4,Sedan,Sedan
82,2,Sedan,Sedan
136,5,SUV,SUV
165,5,Van,SUV
100,4,Sedan,Sedan
132,4,Pickup,SUV
160,5,Van,SUV
104,3,Jeep,Sedan
135,4,Pickup,SUV
94,4,Sedan,Sedan
94,4,SUV,Sedan
134,4,SUV,SUV
122,4,SUV,SUV
85,2,Sedan,Sedan
115,4,Sedan,Sedan
102,4,Sedan,Sedan
101,4,Sedan,Sedan
121,4,Sedan,SUV
117,4,SUV,SUV
122,5,SUV,SUV
172,5,SUV,SUV
76,5,SUV,Sedan
105,5,SUV,Sedan
122,4,Pickup,SUV
106,5,SUV,Sedan
120,4,Pickup,SUV
120,5,SUV,SUV
122,4,Pickup,SUV
105,5,SUV,Sedan
100,4,Sedan,Sedan
136,4,SUV,SUV
106,4,Sedan,Sedan
123,4,SUV,SUV
144,4,SUV,SUV
121,4,SUV,SUV
99,4,Sedan,Sedan
170,4,SUV,SUV
95,4,Sedan,Sedan
136,4,Jeep,SUV
